source,target,rel,cone
135718,136327,-1,1
135718,135755,-1,1
26615,263446,-1,1
26615,263479,-1,1
26615,263673,-1,1
26615,263846,-1,1
26615,264051,-1,1
135718,134290,-1,1
26615,264196,-1,1
135718,133662,-1,1
26615,264284,-1,1
26667,16735,0,1
135718,132515,-1,1
135706,1828,0,1
135705,149236,-1,1
135697,151151,-1,1
26615,264906,-1,1
135693,1828,0,1
135688,150644,-1,1
135688,150579,-1,1
26615,266500,-1,1
135686,136356,-1,1
135686,132957,-1,1
135683,142461,-1,1
135668,148968,0,1
26615,267242,-1,1
135668,63956,0,1
135714,137587,-1,1
26667,19653,0,1
26667,20764,0,1
26667,25160,0,1
135607,147174,-1,1
26677,25728,-1,1
26677,25826,-1,1
26677,26071,-1,1
26677,29773,-1,1
26677,30713,-1,1
26677,31782,-1,1
26677,31886,-1,1
26677,31983,-1,1
26677,32157,-1,1
26677,32250,-1,1
26677,32347,-1,1
26677,32756,-1,1
26677,32817,-1,1
26677,23237,-1,1
26677,32820,-1,1
135607,147042,-1,1
26677,46757,-1,1
26677,395704,-1,1
26677,399825,-1,1
26709,20205,0,1
26721,18760,-1,1
26721,53641,-1,1
135607,142581,-1,1
26725,26703,-1,1
26727,14010,-1,1
135607,142555,-1,1
135607,142414,-1,1
135607,142009,-1,1
135607,141709,-1,1
26677,33389,-1,1
135718,137152,-1,1
26677,22766,-1,1
26677,19764,-1,1
26667,25291,0,1
26667,34288,0,1
26667,35710,0,1
26667,37468,0,1
26667,47147,0,1
26667,47957,0,1
26667,50673,0,1
26667,52320,0,1
26667,56987,0,1
26667,57777,0,1
26667,59890,0,1
26667,60501,0,1
26667,64475,0,1
26667,148968,0,1
135607,149645,-1,1
26667,263152,0,1
135607,394869,-1,1
26677,1403,0,1
135607,151420,0,1
135607,151405,-1,1
135607,151354,-1,1
135607,151066,-1,1
26677,11700,-1,1
26677,11703,-1,1
26677,14661,-1,1
135607,150704,-1,1
26677,15158,-1,1
26677,16475,-1,1
26677,18621,-1,1
26677,19737,-1,1
135628,135413,-1,1
26548,57168,-1,1
135718,137604,-1,1
135718,141296,-1,1
26554,26950,-1,1
26554,27004,-1,1
26554,29833,-1,1
26554,30113,-1,1
26554,30154,-1,1
135806,134914,-1,1
26554,30710,-1,1
26554,31939,-1,1
26554,32671,-1,1
26554,33372,-1,1
26554,33414,-1,1
26554,35984,-1,1
135801,141798,-1,1
26554,40035,-1,1
26554,40262,-1,1
26554,40460,-1,1
26554,46262,-1,1
26554,46438,-1,1
26554,46465,-1,1
26554,46552,-1,1
26554,46746,-1,1
135795,135747,-1,1
26554,53280,-1,1
26554,53710,-1,1
135795,133592,-1,1
26554,54840,-1,1
26554,55122,-1,1
26554,63217,-1,1
135795,133244,-1,1
26554,26215,-1,1
26554,22768,-1,1
26554,22713,-1,1
26554,22379,-1,1
135810,150058,-1,1
26548,395101,-1,1
135810,149587,-1,1
26549,19264,-1,1
26554,1265,-1,1
135806,151112,-1,1
135806,141308,-1,1
135806,140122,-1,1
135806,139529,-1,1
26554,10685,-1,1
26554,11039,0,1
26554,11720,-1,1
26554,11757,-1,1
26554,11763,-1,1
26554,393483,-1,1
26554,11980,-1,1
26554,13346,-1,1
26554,13457,-1,1
26554,13530,-1,1
26554,14622,-1,1
26554,14842,-1,1
26554,14991,-1,1
26554,15111,-1,1
26554,18675,-1,1
26554,19224,-1,1
26554,19236,-1,1
135806,139521,-1,1
26554,20101,-1,1
135806,135820,-1,1
26554,22217,-1,1
26554,12099,-1,1
26554,393953,-1,1
26554,394283,-1,1
26554,394289,-1,1
135760,150591,-1,1
135760,150014,-1,1
135760,140151,-1,1
135760,136311,-1,1
135760,134302,-1,1
135746,1828,0,1
135738,17665,0,1
135738,1828,0,1
26615,26104,-1,1
135735,146860,-1,1
135724,138731,-1,1
26615,28298,-1,1
26615,28358,-1,1
135724,135236,-1,1
26615,3573,-1,1
26615,28627,-1,1
135719,1828,0,1
26615,52533,-1,1
135718,150643,-1,1
135718,150103,-1,1
135718,150028,-1,1
135718,149588,-1,1
135718,149544,-1,1
135718,149182,-1,1
26615,53021,-1,1
26615,53060,-1,1
135718,146936,-1,1
135718,146917,-1,1
135718,141866,-1,1
135718,141797,-1,1
135722,138280,-1,1
26615,262431,-1,1
26613,52331,-1,1
135766,139572,0,1
26554,395072,-1,1
26554,395594,-1,1
26554,395731,-1,1
26554,395945,-1,1
26554,397512,-1,1
26554,398383,-1,1
26554,400137,-1,1
26585,39470,-1,1
26585,40144,-1,1
135782,149234,-1,1
26592,19820,-1,1
26592,22407,-1,1
26592,25039,-1,1
26592,28594,-1,1
26613,28025,-1,1
26592,131189,0,1
26592,262724,-1,1
135775,24482,0,1
26592,263271,-1,1
26592,264220,-1,1
135772,137639,-1,1
26592,264972,-1,1
26592,266474,-1,1
26594,10834,0,1
26599,27699,-1,1
26609,28256,-1,1
135772,137146,-1,1
26609,264473,-1,1
26609,266006,-1,1
135772,135191,-1,1
26592,262545,0,1
26068,394569,-1,1
26068,32302,-1,1
26042,151338,-1,1
135895,132895,0,1
25577,49823,-1,1
25577,50882,-1,1
25577,51185,0,1
25577,51572,-1,1
25577,56990,-1,1
135895,132529,0,1
135895,132476,0,1
25577,58102,-1,1
25577,59493,-1,1
25577,59870,-1,1
25577,61373,-1,1
25577,62167,0,1
25577,132337,0,1
135895,131476,0,1
25577,199373,-1,1
25577,203035,-1,1
25577,206626,-1,1
25577,207162,-1,1
25581,47147,0,1
25581,56987,0,1
25581,57777,0,1
25581,59890,0,1
25584,202177,-1,1
25592,8325,-1,1
25593,209304,-1,1
25598,13237,0,1
25598,25291,0,1
25598,29691,0,1
25577,49503,-1,1
135895,133389,0,1
135895,133483,0,1
135895,133509,0,1
135895,140231,0,1
25577,14630,0,1
135895,138184,0,1
25577,16552,0,1
135895,137945,0,1
135895,137896,0,1
135895,137079,0,1
135895,136994,0,1
135895,136972,0,1
135895,136964,0,1
135895,136805,0,1
135895,136499,0,1
135895,136398,0,1
135895,136245,0,1
25598,34288,0,1
135895,136001,0,1
135895,135526,0,1
135895,135425,0,1
135895,135328,0,1
135895,135126,0,1
135895,134711,0,1
135895,134061,0,1
25577,40513,-1,1
135895,133859,0,1
25577,41379,-1,1
25577,42228,-1,1
135895,133548,0,1
25577,43534,-1,1
25577,43950,-1,1
25577,44934,-1,1
135895,135668,0,1
25598,47147,0,1
25598,56987,0,1
25598,57777,0,1
25674,14938,-1,1
25694,4181,0,1
25697,1031,0,1
25697,2381,0,1
25697,6939,0,1
25697,7713,0,1
25697,13786,0,1
25697,14061,0,1
25697,17639,0,1
25697,18106,0,1
25697,21700,0,1
25697,23106,0,1
25697,23367,0,1
25697,24482,0,1
25671,7914,-1,1
25697,36351,0,1
25697,47787,0,1
25697,49544,0,1
25697,51185,0,1
25697,52320,0,1
25697,53828,0,1
25697,199524,0,1
25697,263152,0,1
25697,396998,0,1
25715,4181,0,1
25715,34927,0,1
25717,37468,0,1
25720,4181,0,1
25738,3549,0,1
25751,293,0,1
25697,41327,0,1
135895,140637,0,1
25668,27232,-1,1
25660,393635,-1,1
25598,59890,0,1
135895,64044,0,1
25615,15100,-1,1
135895,64015,0,1
25627,29680,0,1
25637,23036,-1,1
25637,398022,-1,1
25645,11155,-1,1
135895,63971,0,1
25645,15171,-1,1
25645,16837,-1,1
25645,22840,-1,1
25645,22934,-1,1
25645,27179,-1,1
25668,19062,-1,1
25645,29888,-1,1
25645,54822,-1,1
25645,63448,-1,1
25645,398913,-1,1
25645,399007,-1,1
25645,399060,-1,1
25645,399268,-1,1
25645,400268,-1,1
25645,400404,-1,1
25649,11733,-1,1
25651,19356,-1,1
25653,6939,0,1
25660,5015,-1,1
25660,11106,-1,1
25660,11126,-1,1
25645,32062,-1,1
25751,1828,0,1
135895,140994,0,1
135895,141468,-1,1
136055,63882,-1,1
136055,63869,-1,1
25540,57928,-1,1
136052,147128,-1,1
136052,138062,-1,1
25540,202381,-1,1
25540,205933,-1,1
136052,58390,-1,1
136044,2764,0,1
25549,3335,-1,1
136039,137994,-1,1
25549,8848,-1,1
136030,138985,-1,1
136030,138625,-1,1
136030,138039,-1,1
136030,132480,-1,1
25549,14630,0,1
136030,45814,-1,1
136030,38584,-1,1
136014,140544,-1,1
25549,34479,-1,1
25549,35710,0,1
136001,148968,0,1
25549,41143,-1,1
25549,41566,-1,1
25549,44310,-1,1
25549,48316,-1,1
25549,48679,-1,1
136001,132847,0,1
136055,149333,-1,1
25540,43174,-1,1
136065,149744,-1,1
25540,39830,-1,1
25516,59890,0,1
25516,60501,0,1
25516,64475,0,1
25520,43741,-1,1
25521,14630,0,1
25521,35710,0,1
25521,51185,0,1
25521,57777,0,1
25521,59890,0,1
25521,64418,-1,1
25521,199938,0,1
25521,210937,0,1
25526,3303,0,1
25526,48919,0,1
136001,64073,0,1
25526,49544,0,1
25532,20764,0,1
25532,49673,0,1
25532,59692,0,1
25532,60501,0,1
25538,553,0,1
136106,23666,-1,1
136106,18052,-1,1
136106,17538,-1,1
136106,16552,0,1
136106,14630,0,1
25540,20529,-1,1
136106,9422,-1,1
25540,31676,-1,1
25540,35426,0,1
25532,8492,0,1
25549,51213,-1,1
135964,140757,-1,1
25549,57777,0,1
25575,40994,0,1
25575,41047,0,1
25575,47147,0,1
25575,48362,0,1
25575,50629,0,1
25575,51185,0,1
25575,59890,0,1
25575,60501,0,1
25575,200970,0,1
135905,140813,-1,1
135905,140806,-1,1
135905,135998,-1,1
135905,135988,-1,1
135905,135987,-1,1
25575,39120,0,1
135905,135942,-1,1
135905,135920,-1,1
135905,135902,-1,1
135905,131425,-1,1
135905,131374,-1,1
135905,63766,-1,1
135905,63763,-1,1
135905,63737,-1,1
135905,56146,-1,1
135905,7643,-1,1
135895,395505,0,1
135895,151203,0,1
135895,149785,0,1
135895,142579,0,1
135895,141992,0,1
135905,135932,-1,1
135895,141000,0,1
25575,35369,0,1
25575,15576,0,1
25549,59890,0,1
135964,131371,-1,1
25549,60878,-1,1
25549,62331,-1,1
135964,24085,-1,1
25549,197482,-1,1
25549,197768,-1,1
25549,198181,-1,1
135953,140791,-1,1
25549,203514,-1,1
135905,150861,-1,1
25549,207883,-1,1
25549,210937,0,1
25549,212264,-1,1
25575,34288,0,1
135905,150838,-1,1
25557,31306,-1,1
25560,14630,0,1
25560,57777,0,1
25560,59890,0,1
25560,61967,-1,1
25560,210937,0,1
25563,47147,0,1
25563,56987,0,1
25563,57777,0,1
25563,59890,0,1
25569,12637,0,1
25575,3303,0,1
25575,6720,0,1
25575,8218,0,1
135905,149129,-1,1
25751,4181,0,1
25751,4826,0,1
25751,6939,0,1
25933,61936,-1,1
25933,262321,-1,1
25933,262405,-1,1
25933,262543,-1,1
25933,262625,-1,1
25933,262799,-1,1
25933,262809,-1,1
25933,262891,-1,1
25933,262968,0,1
135895,38541,0,1
25933,263595,-1,1
25933,264125,-1,1
25933,264274,-1,1
25933,264346,-1,1
25933,264442,-1,1
25933,264450,-1,1
135895,38438,0,1
25933,265059,-1,1
25933,265065,-1,1
25933,265091,-1,1
25933,265098,-1,1
25933,265103,-1,1
25933,265280,-1,1
25933,265375,-1,1
25933,266360,-1,1
25933,266596,-1,1
25933,267008,-1,1
25933,267386,-1,1
25933,268095,-1,1
25933,61903,-1,1
25933,61822,-1,1
135895,38858,0,1
25933,53240,-1,1
25905,1798,0,1
25905,4181,0,1
25914,1403,0,1
25914,53877,-1,1
25920,3549,0,1
25921,22985,-1,1
25932,13379,-1,1
25932,53578,-1,1
135895,55542,0,1
135895,55486,0,1
135895,53766,0,1
25933,26218,-1,1
25933,28148,-1,1
135895,45931,0,1
25933,268830,-1,1
135895,45852,0,1
25933,28250,-1,1
25933,28357,-1,1
135895,45768,0,1
25933,28631,-1,1
25933,28639,-1,1
135895,45638,0,1
135895,45269,0,1
135895,45230,0,1
135895,45102,0,1
135895,41135,0,1
25933,52722,-1,1
135895,40627,0,1
25933,53010,-1,1
25933,53235,-1,1
25933,28226,-1,1
25933,269319,-1,1
25933,269593,-1,1
25933,269720,-1,1
25956,16577,-1,1
25956,22228,-1,1
25956,29730,-1,1
25956,33203,-1,1
25956,33206,-1,1
25956,36366,-1,1
25956,40638,-1,1
25956,40799,-1,1
25956,46473,-1,1
25956,53285,-1,1
25956,53287,-1,1
25956,54855,-1,1
25956,54960,-1,1
25956,55102,-1,1
25956,14382,-1,1
25956,63325,-1,1
25956,396194,-1,1
25956,397497,-1,1
25956,397751,-1,1
25956,398780,-1,1
25956,400182,-1,1
25961,1798,0,1
25961,6423,0,1
25967,14329,-1,1
25975,4181,0,1
25975,11686,0,1
