id,country,x,y,cone,asrank,angle,r,cone_map
3356,US,950.0,500.0,49594,1,-91.7828182860385,0.0,1.0
1299,SE,957.059499131226,500.05075348981353,40438,2,-0.411914585979225,7.05968157217509,1.2040953563435153
174,US,952.2483028357811,509.8641345798276,37017,3,-77.1600918355279,10.117115035934514,1.292485741363432
6762,IT,977.1354802328037,506.44021714894694,22144,4,-13.3513049657106,27.889257508769777,1.8062782848227954
2914,US,936.2212263880749,527.7969676721307,20225,5,-116.367311648687,31.02460336594425,1.8969211167179785
6939,US,938.9055283759254,529.0775748074767,20168,6,-110.884221164248,31.122221278401664,1.8997432500429476
6461,US,951.3275210363881,534.6158578477472,18217,7,-87.8037783358885,34.6413037664216,2.001479905875339
6453,US,970.0759661490096,528.247064997367,18210,8,-54.5975446150093,34.65459706563694,2.0018642150842743
3257,US,985.1778129911065,498.69155441753907,17924,9,2.13014566292295,35.20213852423634,2.017693635712273
3491,US,958.6002556884883,553.1992684383093,10442,10,-80.8169452174135,53.88994860155898,2.5579581247005456
1273,EU,1018.0100245477992,504.73074371041145,6909,12,-3.97905678976604,68.17436010001,2.9709203844183785
5511,FR,981.3561986234638,562.5297064302167,6563,13,-63.3680283416848,69.95123571719942,3.0222898489701127
4637,HK,923.5660246403882,432.27868663886125,6062,14,111.322424568194,72.69753322273127,3.1016852951083633
12956,ES,1007.5713726058797,551.1799747174666,5348,15,-41.6365531433061,77.03150495612529,3.226980394648844
7473,SG,927.6751730480512,419.2825686592131,4404,16,105.46037960677,83.74784546893791,3.421149762809814
1239,US,955.9792172188124,588.3931894016713,3828,17,-86.1302128481296,88.59518593664941,3.5612863497027996
12389,RU,994.7721948620098,423.1401933547705,3789,18,59.7784445019609,88.94930753133409,3.571524003103622
52320,CO,989.7531462707201,580.2815854434575,3720,19,-63.6567020480311,89.58485139651923,3.589897572833472
3320,DE,1038.904259132818,485.082166028734,3660,20,9.52530229301079,90.14715226977238,3.606153688059858
16735,BR,1013.1018194576338,567.1005354249262,3458,21,-46.7590892066276,92.11037657710229,3.662910492242925
7195,CO,980.9608230608532,586.9426702032883,3440,22,-70.3988707881329,92.29084714468284,3.668127895382614
9498,IN,970.1682770487007,407.93837071475093,3251,23,77.6432170272546,94.2449096013561,3.7246198305123928
6830,NL,1042.9531893414455,482.03660626685195,3211,24,10.9376955595917,94.67301053182318,3.7369962261134417
3216,RU,1018.1662122295893,434.20792987363103,3205,25,43.9846534279411,94.73768511654939,3.738865968010596
31133,RU,1022.1862268060272,431.97578993598415,2818,26,43.2997272176255,99.18742105390464,3.8675078100659817
7018,US,938.0071364783752,598.47207944825,2817,27,-96.9438261974441,99.19969357972221,3.8678626087214685
10429,BR,1021.8937831090178,570.4263717787184,2702,28,-44.4092649988748,100.64089572157413,3.9095277549036465
13786,US,1004.1223224988938,585.7840938292763,2641,29,-57.7516289877435,101.4304517725538,3.9323538160978235
20485,RU,1008.9554791858279,416.24167215836223,2566,30,54.8592040062656,102.42658838825915,3.9611521203089537
701,US,969.5818215948057,601.6811911589242,2484,31,-79.0993966407859,103.54956481061852,3.993617362649365
37468,AO,1055.8508014299127,492.43953004642066,2306,32,4.08545436846007,106.12046395146324,4.06794204300634
7922,US,962.3523436936161,606.1005191023569,2260,33,-83.3594539201081,106.8171360246792,4.088082828902124
20764,RU,1040.1291920426868,441.09894711303957,2205,34,33.1653402430369,107.66896158810131,4.112709101366646
15412,GB,978.3960163690484,395.40414211415873,2160,35,74.8112485022836,108.38185841046634,4.133318944673208
4755,IN,976.2989852431235,394.72504736310077,2152,36,75.9738750994417,108.51014826973288,4.137027803815731
4230,BR,1033.4078655022622,584.2633619695471,1609,38,-45.2923334692948,118.56300518312773,4.427655843201586
28917,LT,1043.8724503535177,425.6962653789781,1556,39,38.3629994530706,119.7208499552391,4.461129129346096
4826,,857.2830990431817,420.2769724498535,1445,40,139.309267546405,122.27912677476021,4.5350888984613835
58453,CN,899.7176220165463,388.00929133019065,1425,41,114.179462807691,122.76089102005173,4.549016700205852
8359,RU,1044.7714789016777,419.6514912934772,1365,42,40.2917174365243,124.24780104522303,4.592003261049358
262589,BR,1010.3131382580804,608.8885355109668,1356,43,-61.0180206208755,124.47645485095316,4.598613641345224
8220,GB,1073.6641255568786,480.4645362323812,1328,44,8.97694326129733,125.19764492339067,4.619463242466849
209,US,930.1574896952168,625.040745788723,1275,45,-99.0169861242577,126.60534476314764,4.6601598372753585
4766,KR,873.2394416264303,398.66689662243755,1256,46,127.144191965604,127.12427447954208,4.675162092589847
3549,US,957.3292969888795,627.4405225545408,1237,47,-86.7084589676282,127.65110803798622,4.690392847935552
35598,RU,1051.4433031258689,421.86773711981084,1223,48,37.6036879749206,128.04450106063086,4.701765838107823
46887,US,977.2673071892435,628.375831249743,1115,49,-78.0084629906065,131.2397047025597,4.794139158238838
31500,NL,1066.4777248812077,438.7211788163901,1103,50,27.7488155399262,131.61365551930828,4.804950074343053
1031,US,986.549191793864,627.4621793726328,1072,51,-74.0,132.5988332950402,4.833431558549396
