rir_distribution
apnic,41
arin,1
ripencc,1
register_distribution
2000,4
2001,10
1996,4
2017,2
2018,2
2013,2
2020,7
2016,1
2015,2
2007,1
2019,1
2023,1
2010,1
2012,1
2014,3
2011,1
duration_distribution
26,4
25,10
30,4
9,2
8,2
13,2
6,7
10,1
11,2
19,1
7,1
3,1
16,1
14,1
12,3
15,1
